CMDLINE E:\Phis-shield-res\.env\Scripts\python.exe app.py
MEM 1.703125 1745597722.8800
MEM 3.539062 1745597722.9850
MEM 3.539062 1745597723.0943
MEM 3.539062 1745597723.2045
MEM 3.539062 1745597723.3144
MEM 3.539062 1745597723.4263
MEM 3.539062 1745597723.5383
MEM 3.539062 1745597723.6503
MEM 3.539062 1745597723.7623
MEM 3.539062 1745597723.8739
MEM 3.539062 1745597723.9831
MEM 3.539062 1745597724.0931
MEM 3.539062 1745597724.2037
MEM 3.539062 1745597724.3143
MEM 3.539062 1745597724.4235
MEM 3.539062 1745597724.5360
MEM 3.539062 1745597724.6449
MEM 3.539062 1745597724.7538
MEM 3.539062 1745597724.8634
MEM 3.539062 1745597724.9730
MEM 3.539062 1745597725.0844
MEM 3.539062 1745597725.1954
MEM 3.539062 1745597725.3030
MEM 3.539062 1745597725.4132
MEM 3.539062 1745597725.5236
MEM 3.539062 1745597725.6342
MEM 3.539062 1745597725.7436
MEM 3.539062 1745597725.8545
MEM 3.539062 1745597725.9650
MEM 3.539062 1745597726.0753
MEM 3.539062 1745597726.1871
MEM 3.539062 1745597726.2965
MEM 3.539062 1745597726.4079
MEM 3.539062 1745597726.5181
MEM 3.539062 1745597726.6279
MEM 3.539062 1745597726.7372
MEM 3.539062 1745597726.8471
MEM 3.539062 1745597726.9570
MEM 3.539062 1745597727.0681
MEM 3.539062 1745597727.1772
MEM 3.539062 1745597727.2869
MEM 3.539062 1745597727.3948
MEM 3.539062 1745597727.5048
MEM 3.539062 1745597727.6128
MEM 3.539062 1745597727.7216
MEM 3.539062 1745597727.8323
MEM 3.539062 1745597727.9407
MEM 3.539062 1745597728.0519
MEM 3.539062 1745597728.1617
MEM 3.539062 1745597728.2712
MEM 3.539062 1745597728.3802
MEM 3.539062 1745597728.4874
MEM 3.539062 1745597728.5966
MEM 3.539062 1745597728.7063
MEM 3.539062 1745597728.8178
MEM 3.539062 1745597728.9295
MEM 3.539062 1745597729.0399
MEM 3.539062 1745597729.1507
MEM 3.539062 1745597729.2608
MEM 3.539062 1745597729.3696
MEM 3.539062 1745597729.4797
MEM 3.539062 1745597729.5911
MEM 3.539062 1745597729.6993
MEM 3.539062 1745597729.8100
MEM 3.539062 1745597729.9210
MEM 3.539062 1745597730.0299
MEM 3.539062 1745597730.1390
MEM 3.539062 1745597730.2488
MEM 3.539062 1745597730.3601
MEM 3.539062 1745597730.4714
MEM 3.539062 1745597730.5813
MEM 3.539062 1745597730.6922
MEM 3.539062 1745597730.8040
